IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.120.16,443,443,true,FRA,Europe,Frankfurt,290,5.54
34.90.185.80,443,443,true,FRA,Europe,Frankfurt,259,5.54
34.91.173.96,443,443,true,FRA,Europe,Frankfurt,267,5.53
34.159.70.68,443,443,true,FRA,Europe,Frankfurt,263,5.53
34.118.12.136,443,443,true,FRA,Europe,Frankfurt,279,5.53
34.90.185.80,443,443,true,FRA,Europe,Frankfurt,263,5.53
34.116.221.100,443,443,true,FRA,Europe,Frankfurt,268,5.52
34.90.231.30,443,443,true,FRA,Europe,Frankfurt,269,5.52
34.91.71.92,443,443,true,FRA,Europe,Frankfurt,258,5.52
34.91.162.60,443,443,true,FRA,Europe,Frankfurt,266,5.52
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,261,5.52
34.154.185.211,443,443,true,FRA,Europe,Frankfurt,258,5.52
34.65.235.187,443,443,true,FRA,Europe,Frankfurt,255,5.51
34.65.187.105,443,443,true,FRA,Europe,Frankfurt,257,5.51
34.32.237.155,443,443,true,FRA,Europe,Frankfurt,256,5.51
34.118.27.184,443,443,true,FRA,Europe,Frankfurt,318,5.51
34.65.127.153,443,443,true,FRA,Europe,Frankfurt,252,5.50
34.159.169.184,443,443,true,FRA,Europe,Frankfurt,256,5.49
34.159.106.111,443,443,true,FRA,Europe,Frankfurt,265,5.49
34.118.87.30,443,443,true,FRA,Europe,Frankfurt,266,5.48
35.204.89.251,443,443,true,FRA,Europe,Frankfurt,263,5.48
34.116.182.70,443,443,true,FRA,Europe,Frankfurt,267,5.48
34.118.78.73,443,443,true,FRA,Europe,Frankfurt,270,5.48
34.118.111.34,443,443,true,FRA,Europe,Frankfurt,267,5.47
34.65.83.205,443,443,true,FRA,Europe,Frankfurt,261,5.47
34.154.122.87,443,443,true,FRA,Europe,Frankfurt,249,5.47
34.118.52.240,443,443,true,FRA,Europe,Frankfurt,274,5.47
34.118.77.243,443,443,true,FRA,Europe,Frankfurt,267,5.47
34.65.83.205,443,443,true,FRA,Europe,Frankfurt,250,5.46
34.154.174.146,443,443,true,FRA,Europe,Frankfurt,252,5.46
34.116.231.238,443,443,true,FRA,Europe,Frankfurt,279,5.45
34.118.78.73,443,443,true,FRA,Europe,Frankfurt,266,5.45
34.65.122.235,443,443,true,FRA,Europe,Frankfurt,261,5.45
34.116.206.140,443,443,true,FRA,Europe,Frankfurt,285,5.45
34.116.203.60,443,443,true,FRA,Europe,Frankfurt,320,5.44
34.65.128.53,443,443,true,FRA,Europe,Frankfurt,257,5.44
34.118.8.60,443,443,true,FRA,Europe,Frankfurt,273,5.43
34.118.87.30,443,443,true,FRA,Europe,Frankfurt,286,5.43
34.116.181.67,443,443,true,FRA,Europe,Frankfurt,267,5.43
34.118.88.129,443,443,true,FRA,Europe,Frankfurt,268,5.42
34.118.78.222,443,443,true,FRA,Europe,Frankfurt,274,5.42
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,252,5.42
34.65.117.30,443,443,true,FRA,Europe,Frankfurt,260,5.42
34.65.221.238,443,443,true,FRA,Europe,Frankfurt,259,5.42
34.116.245.40,443,443,true,FRA,Europe,Frankfurt,376,5.42
34.141.26.28,443,443,true,FRA,Europe,Frankfurt,260,5.41
34.118.99.171,443,443,true,FRA,Europe,Frankfurt,267,5.41
34.116.231.238,443,443,true,FRA,Europe,Frankfurt,327,5.41
34.116.167.147,443,443,true,FRA,Europe,Frankfurt,282,5.41
34.90.76.0,443,443,true,FRA,Europe,Frankfurt,257,5.41
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,254,5.41
34.116.169.12,443,443,true,FRA,Europe,Frankfurt,267,5.39
34.116.158.196,443,443,true,FRA,Europe,Frankfurt,269,5.39
34.118.3.82,443,443,true,FRA,Europe,Frankfurt,267,5.39
34.90.152.143,443,443,true,FRA,Europe,Frankfurt,268,5.39
34.118.37.122,443,443,true,FRA,Europe,Frankfurt,267,5.39
34.118.50.188,443,443,true,FRA,Europe,Frankfurt,274,5.39
34.147.75.161,443,443,true,FRA,Europe,Frankfurt,258,5.38
34.154.29.213,443,443,true,FRA,Europe,Frankfurt,258,5.38
34.65.96.16,443,443,true,FRA,Europe,Frankfurt,253,5.38
34.91.173.96,443,443,true,FRA,Europe,Frankfurt,275,5.38
34.159.147.132,443,443,true,FRA,Europe,Frankfurt,262,5.38
35.204.240.122,443,443,true,FRA,Europe,Frankfurt,258,5.37
34.65.255.99,443,443,true,FRA,Europe,Frankfurt,252,5.37
34.118.101.112,443,443,true,FRA,Europe,Frankfurt,269,5.37
34.91.145.154,443,443,true,FRA,Europe,Frankfurt,261,5.37
34.116.248.223,443,443,true,FRA,Europe,Frankfurt,309,5.36
34.90.85.196,443,443,true,FRA,Europe,Frankfurt,278,5.36
34.65.209.36,443,443,true,FRA,Europe,Frankfurt,250,5.36
34.118.33.236,443,443,true,FRA,Europe,Frankfurt,273,5.36
34.65.96.16,443,443,true,FRA,Europe,Frankfurt,267,5.35
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,283,5.35
34.91.47.18,443,443,true,FRA,Europe,Frankfurt,258,5.35
34.116.240.209,443,443,true,FRA,Europe,Frankfurt,285,5.34
34.118.116.97,443,443,true,FRA,Europe,Frankfurt,269,5.34
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,360,5.34
34.65.83.205,443,443,true,FRA,Europe,Frankfurt,258,5.33
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,281,5.32
34.116.141.115,443,443,true,FRA,Europe,Frankfurt,278,5.32
34.65.255.99,443,443,true,FRA,Europe,Frankfurt,262,5.31
34.118.75.84,443,443,true,FRA,Europe,Frankfurt,279,5.30
34.65.128.53,443,443,true,FRA,Europe,Frankfurt,262,5.30
34.154.184.119,443,443,true,FRA,Europe,Frankfurt,267,5.30
34.154.116.167,443,443,true,FRA,Europe,Frankfurt,256,5.29
35.204.137.100,443,443,true,FRA,Europe,Frankfurt,256,5.29
34.90.231.30,443,443,true,FRA,Europe,Frankfurt,267,5.29
34.159.222.88,443,443,true,FRA,Europe,Frankfurt,270,5.29
34.154.232.108,443,443,true,FRA,Europe,Frankfurt,254,5.28
34.65.189.65,443,443,true,FRA,Europe,Frankfurt,257,5.28
34.91.151.106,443,443,true,FRA,Europe,Frankfurt,256,5.28
